Name,Instrument,Teachers,Schools,Competitions,Festivals,Chamber Groups,Chamber Group Partners,When Began Current
Yuncong Zhang,Violin,Glenn Dicterow; Lisa Kim,Manhattan School of Music,,Aspen Music Festival; Taos School of Music; Pacific Music; Music Academy of the West,Echoi Contemporary Ensemble,,2010
Jennie Shames,Violin,Nathan Gottschalk; Rafael Bronstein; Arianna Bronne; Joseph Silverstein,Hartt College of Music; Harvard University,,Tanglewood Music Center; Norfolk Music festival,,Boston Symphony Orchestra,1980
Lucia Lin,Violinist,Paul Rolland; Sergiu Luca,,Moscow International Tchaikovsky Competition,Carnegie Hall's Weill Recital Hall,Boston Trio; Muir String Quartet,Ann Hobson Pilot; J.P. Jofre,1995
Ikuko Mizuno,violin,Jeanne Isnard; Toshiya Etoh; Saburo Sumi; Hideo Saito; Franco Gulli; Henryk Szeryng,TohoGakuen School of Music; Boston University; Accademia Musicale Chigiana; Geneva Conservatory,NHK Mainichi Shimbun Competition,Tanglewood Music Center; Saito Kinen Festival,Festival Quartet; Saito Kinen Orchestra,Yo-Yo Ma; Nicolas Tulliez; Thomas Prvost,1969
Valeria Vilker Kuchment,violin,Yuri Yankelevich,Tchaikovsky Conservatory,International Violin Competition at Prague; International Violin Competition at Munich,Tanglewood Music Center; Boston University Tanglewood Institute,Apple Hill Chamber Players,Gil Shaham; Garrick Ohlsson; Emanuel Ax,1986
Si-Jing Huang,Violin,Glenn Dicterow; Dorothy DeLay; Da-Ying Huang,Juilliard School,Young Concert Artists Auditions in Hawaii,Aspen Music Festival; Taos Chamber Music Festival,Juilliard Orchestra; Hawthorne String Quartet,Classical String Players,1989
Tatiana Dimitriades,Violin,,Juilliard School; Indiana University School of Music,Lili Boulanger Memorial Award; Guido Chigi Saracini Prize; Mischa Pelz Prize,Grand Teton Music Festival,Boston Artists Ensemble; Boston Conservatory Chamber Ensemble; Walden Chamber Players,,1987
Wendy Putnam,Violin,Sally OReilly; Josef Gingold,Louisiana State University; Indiana University,Times-Picayune Best Classical Performance of the Year 1995,Tanglewood,Concord Chamber Music Society,,1997
Xin Ding,Violinist,Zhenshan Wang; Fredell Lack; Eric Rosenblith,Shanghai Conservatory of Music; Central Conservatory of Music; Longy School of Music,National String Quartet Competition in China,"International Musical Arts Institute in Fryeburg, Maine",Milton String Quartet,,1999
Glen Cherry,unknown,,Interlochen Arts Academy; New England Conservatory of Music,,,,,2006
Takumi Taguchi,violin,Shmuel Ashkenasi; Midori; Aaron Rosand; Simon James; Hiro David; Mihoko Hirata,Curtis Institute of Music,,,Dover quartet; Calidore quartet,,2022
Jung-Eun Ahn,Violinist,Paul Biss; Min Park; Yuki Mori; Robert Lipsett,Sunhwa Arts School; Korea National Arts School Pre-College; Colburn Conservatory; New England Conservatory,-,Ravinia's Steans Music Institute; Taos School of Music; Banff Music Festival,Honors String Quartet,-,2022
Lisa Ji Eun Kim,violin,Hyo Kang; David Chan,Juilliard School,"Juilliard School Annual Concerto Competition (Runner-up, 2013); Musical Merit Competition (Grand prize winner, 2011 and 2012)",Music Academy of the West; Schleswig-Holstein Music Festival; Norfolk Chamber Music Festival; Verbier Festival,San Diego Symphony; Grossmont Symphony; Saratoga Symphony; San Diego Chamber Orchestra; San Diego Youth Symphony; San Diego Youth Philharmonia,,2017
Haldan Martinson,violin,Robert Lipsett; Endr Granat; David Nadien; Aaron Rosand; James Buswell,Yale College; New England Conservatory,Spotlight Award of the Los Angeles Music Center,Ravinia; Taos; Santa Fe; La Jolla,Metamorphosen Chamber Ensemble; Boston Symphony Chamber Players,Boston Symphony Orchestra,2000
Aza Raykhtsaum,violin,Yakov Ryabinkov,St. Petersburg Conservatory,,,,Jules Eskin,1980
Sheila Fiekowsky,violin,Emily Mutter Austin; Ivan Galamian; Jaime Laredo; Felix Galimir; Joseph Silverstein,Curtis Institute of Music; Yale University,National Federation of Music Clubs Biennial Award,Marlboro Music Festival; Norfolk Music Festival; Aspen Music Festival,Guarneri Quartet,,1975
Nicole Monahan,Violinist,Cho-Liang Lin; Robert Lipsett; Roland Vamos,Juilliard School,Fischoff National Chamber Music Competition; Bellflower Young Performers Competition; International Carl Nielsen Competition,Norfolk Chamber Music Festival; La Jolla Summerfest Rising Young Stars Series; Focus! Festival in New York,Norfolk Chamber Consort; La Jolla Summerfest Chamber Orchestra; Juilliard Symphony Orchestra; Juilliard Chamber Orchestra,Not provided,1995
James Cooke,violin,Joseph Silverstein; Denes Zsigmondy; Malcolm Lowe,University of Illinois; Boston University,,,Boston Composers String Quartet,,1987
Bonnie Bewick,violinist,,University of Michigan; Curtis Institute of Music,won a position with the Columbus Symphony,Interlochen; Spoleto; Colorado Philharmonic; Grand Tetons,Classical Tangent; Frame,BSO members; Ken Bewick,1987
Victor Romanul,Violinist,Jascha Heifetz; Joseph Silverstein; Ivan Galamian,Ars Poetica Chamber Orchestra,,Tanglewood,Boston Symphony Orchestra,,3
Catherine French,Violin,Miriam Fried; Felix Galimir; Joel Smirnoff,Indiana University; Juilliard School,Canadian Music Competition; CBC Radio Competition; National Competitive Festival of Music,Marlboro Chamber Music Festival; Banff Chamber Music Festival; Portland Chamber Music Festival; Carolina Chamber Music Festival; Missouri Chamber Music Festival,Calyx Piano Trio; Collage New Music,David Gilbert; James de Preist; John Williams; Christopher Oldfather,1994
Jason Horowitz,violin,Philipp Naegele; Louis Krasner; Christoph Poppen,New England Conservatory,,,,,2006
Ala Jojatu,violin,Stefan Gheorghiu; Lynn Chang; Marylou Speaker Churchill; Malcolm Lowe,Bucharest National University of Music; Boston Conservatory; Boston University,Sibelius violin concerto; Berg violin concerto,Tanglewood Music Center,Indian Hill Orchestra,Mihail Jojatu,2011
Bracha Malkin,Violinist,Isaac Malkin; Aaron Rosand; Miriam Fried; Boris Belkin,Manhattan School of Music Precollege program; Curtis Institute of Music; Indiana University; Maastricht Conservatory,Wieniawski International violin competition; Paganini International violin competition,Kronberg Academy's Chamber Music Connects the World; Marlboro Music Festival; Menton Music Festival; Delft Festival; Storioni Festival; Academy of Music Summer Festival,Malkin Duo,Yuri Bashmet; Irena Grafenauer; Gary Hoffman; Lynn Harrell,2016
Steven Ansell,viola,Michael Tree; Karen Tuttle,Curtis Institute of Music,Grand Prix du Disque,Tanglewood; Marlboro; Schleswig-Holstein; Newport; Blossom; Spoleto; Snowbird,Muir String Quartet; Boston Symphony Chamber Players,,1996
Sophie Wang,violinist,Malcolm Lowe; Donald Weilerstein; Sergiu Schwartz; William Terwilliger,New England Conservatory; Schwob School of Music at Columbus State University,Beijing International Music Festival; New York International Artists; Music Teachers National Association,Tanglewood Music Center; IMS Prussia Cove; Taos School of Music; Sarasota Music Festival,Borromeo String Quartet; Shanghai String Quartet; Brentano String Quartet,Roberto Daz; Wendy Warner; Charles Wetherbee,2022
Cathy Basrak,viola,Joseph de Pasquale; Michael Tree,Curtis Institute of Music,Seventeen Magazine/General Motors National Concerto Competition,Marlboro Chamber Music Festival; Banff Centre for the Arts; Norfolk Chamber Music Festival,Boston Symphony Chamber Players; Brandenburg Ensemble; Metamorphosen Ensemble,BSO colleagues,2000
Danny Kim,viola,Sally Chisholm; Samuel Rhodes,University of Wisconsin-Madison; Juilliard School,Maurice Schwartz Prize,Tanglewood Music Center; Marlboro Music Festival; Pacific Music Festival; Lucerne; Aspen,Boston Symphony Chamber Players; Ensemble Connect; Chamber Music Society of Minnesota; Concordia Chamber Players,Joseph Silverstein; Peter Wiley; Arnold Steinhardt; Michael Tree; Marcy Rosen; Richard ONeill,2016
Rebecca Gitter,viola,Robert Vernon,Cleveland Institute of Music,Toronto's Ben Steinberg Jewish Musical Legacy Award,Taos School of Music; Marlboro Festival; Ravinia's Steans Institute for Young Artists,,,2001
Michael Zaretsky,viola,Leonard Bernstein,Moscow State Conservatory,,Tanglewood Music Center,Moscow Philharmonic String Quartet,Emanuel Ax; Yuri Bashmet; Yefim Bronfman; Gil Shaham; Vadim Repin; Xak Bjerken; Victor Romanul,1973
Rachel Fagerburg,viola,Heidi Castleman; Eugene Lehner; Abraham Skernick,New England Conservatory of Music; Cleveland Institute of Music,,Tanglewood Music Center,Renard String Quartet,fellow BSO members,1989
Kathryn Sievers,viola,Robert Vernon; Heidi Castleman; Misha Amory; Erick Friedman,Juilliard School; Cleveland Institute of Music; Yale College,New World Symphony concerto competition,"Strings Music Festival in Steamboat Springs, Colorado",Boston Symphony Orchestra,,2018
Daniel Getz,viola,Mahoko Eguchi; Kim Kashkashian; Heidi Castleman; Robert Vernon,New England Conservatory; Juilliard School,Bartk Viola Concerto; Walton Viola Concerto; Stamitz Viola Concerto,Tanglewood Music Center; Aspen Music Festival; Kneisel Hall; Perlman Music Program,Boston Symphony Orchestra,Kim Kashkashian,2013
Mary Ferrillo,Violist,Katherine Murdock; Roger Tapping; Edward Gazouleas; Cathy Basrak; Robert Vernon; Michael Tree; Carol Rodland,"University of Maryland, College Park; New England Conservatory; Indiana Universitys Jacobs School of Music",Tanglewood Music Center 2014 Maurice Schwartz Prize from Marion E. Dubbs,Tanglewood Music Center; Spoleto Festival USA; Pacific Music Festival; National Orchestral Institute; Green Mountain Chamber Music Festival,Chroma Trio,BSO colleagues,2019
Leonardo Vsquez Chacn,Violist,,Bard College; Indiana University,,Tanglewood Music Center; International Chamber Music Festival,The Orchestra Now,Pacifica Quartet,0
Steven O. Laraia,viola,Kim Kashkashian; Dimitri Murrath; Cathy Basrak; Byrnina Socolofsky; Che-Hung Chen,New England Conservatory,2014 Hellam Competition; 2012 NEC Concerto Competition; 2012 MUSICCAS International Young Artists Competition; Sphinx Competition; 2014 Borromeo Guest Artist Award,Ravinias Steans Music Institute; Yellow Barn Music Festival; Lake Champlain Chamber Music Festival,Sejong Soloists; A Far Cry; Sphinx Virtuosi,,2019
Oliver Aldort,cello,Carter Brey; Peter Wiley; Lynn Harrell; Ron Leonard; Amos Yang,Curtis Institute of Music,2007 MTNA Junior Competition; 2008 Seattle Young Artists Music Festival; 2010 Seattle Young Artists Music Festival,Verbier Festival Academy; Tanglewood Music Center; Steans Music Institute at Ravinia,,,2015
Blaise Djardin,Cello,Philippe Muller; Laurence Lesser; Bernard Greenhouse,Conservatoire National Suprieur de Musique of Paris; New England Conservatory,Maurice Gendron International Cello Competition; Adam International Cello Festival and Competition,Ravinias Steans Institute,Boston Symphony Chamber Players; A Far Cry; Boston Cello Quartet,Yo-Yo Ma,2018
Alexandre Lecarme,Cellist,David Soyer; Jean-Marie Gamard; Andrs Daz,Conservatoire National Suprieur de Musique de Paris; Boston University,,Rockport Chamber Music Festival; Hammond Performing Arts Series; Copley Society Series; Hebron and Thayer Academy Concert Series; Temple Emmanuel Chamber Music Series; Pablo Casals Festival; Domaine Forget Festival; Kneisel Hall Festival; Norfolk Chamber Music Festival,Tancrede Trio; Alianza String Quartet; Boston Cello Quartet,Roman Totenberg; Seymour Lipkin; Members of the Tokyo String Quartet,2010
Mickey Katz,Cellist,Paul Katz; Uzi Wiezel; Hillel Zori; Uri Vardi; Laurence Lesser,New England Conservatory,Presser Music Award in Boston; Karl Zeise Prize at Tanglewood Music Center; Hudson Valley Philharmonic Competition; Rubin Academy Competition in Tel Aviv,Marlboro Music Festival; Tanglewood Music Center,New Fromm Players; Israel Defense Force String Quartet,Pinkhas Zukerman; Gil Shaham; Tabea Zimmermann; Kim Kashkashian; Members of the Juilliard and Guarneri string quartets; Gilbert Kalish,2004
Owen Young,cellist,Elinor Osborn; Michael Grebanier; Anne Martindale Williams; Aldo Parisot,Yale University,,Tanglewood; Aspen; Banff; Davos; Sunflower; Gateway; Brevard; St. Barth's,Innuendo,not available,1991
Mihail Jojatu,cello,Ronald Feldman; Bernard Greenhouse; Jules Eskin,Bucharest Academy of Music; Boston Conservatory of Music,Boston University's Concerto Competition; Aria Concerto Competition at Boston Conservatory,Tanglewood Music Center,Boston Cello Quartet,BSO cellist colleagues,2001
Adam Esbensen,Cellist,Stephen Geber; Timothy Eddy; Hamilton Cheifetz; John Kadz; Pamela Frame,Cleveland Institute of Music; Mannes College of Music,,Mozart and Chopin festivals; Taos; Vail; Spoleto-Italy; Bellingham; San Luis Obispo,Boston Cello Quartet,,2008
Christine Lee,cello,,,International Isang Yun Competition; Queen Elisabeth Competition,,,,2023
Will Chow,Cellist,Carter Brey; Peter Wiley,Curtis Institute of Music,Mondavi National Young Artists Competition,Marlboro Music; Ravinias Steans Music Institute; Perlman Music Program; Music from Angelfire; Music@Menlo,,Mitsuko Uchida; Yo-Yo Ma; Ida Kavafian; Roberto Daz,2022
Jonah Ellsworth,cello,Laurence Lesser; Kim Kashkashian; Llus Claret; Natasha Brofsky; Andrew Mark; Peter Wiley; Paul Watkins,New England Conservatory; Yale School of Music,BSO concerto competition,Marlboro Music Festival; Verbier Music Festival; Rockport Music Festival; Steans Institute of Ravinia; Music@Menlo; Orford Musique Academy,Boston Trio,Boston Trio members,2016
Edwin Barker,double bass,Henry Portnoi; Peter Mercurio; Richard Stephan; Angelo LaMariana; David Perleman,New England Conservatory,,Tanglewood Music Center,Boston Symphony Chamber Players; Collage; Boston Chamber Music Society,,1976
Lawrence Wolfe,Double Bass,William Curtis; Leslie Martin; Gary Karr,New England Conservatory,International Double Bass Competition on the Isle of Man,Tanglewood Music Center,,,1970
Dennis Roy,orchestra musician,,Tanglewood Music Center; Boston University Tanglewood Institute; New England Conservatory,,,Boston Symphony Orchestra; National Symphony Orchestra; Rhode Island Philharmonic; Springfield Symphony Orchestra; Portland Symphony Orchestra,,1993
Benjamin Levy,Double Bass,David Potter; Stuart Sankey; Todd Seeber; Timothy Pitts; Paul Ellison,New England Conservatory; Boston University's School of Music,,Aspen Music Festival; Tanglewood Music Center,Borromeo String Quartet; Hawthorne String Quartet; New England Conservatory's First Monday Series; Boston Musica Viva; Collage New Music,Dawn Upshaw,2003
Todd Seeber,double bass,George Wellington; Herman Jobelmann; Henry Portnoi,Tanglewood Music Center; Boston University,American String Teachers National Solo Competition; Boston University Concerto Aria Competition,,,,1988
John Stovall,Double Bass,Stuart Sankey; Lawrence Wolfe,University of Texas; New England Conservatory,,Tanglewood Music Center; Grand Teton Music Festival; Aspen Music Festival; Congress of Strings,,,1988
Carl Anderson,Double bass,Wayne Anderson; Alexander Hanna; Paul Ellison,DePaul University; Rice University Shepherd School of Music,Cincinnati Youth Symphony Orchestra concerto competition (2013); DePaul University Concerto Competition,Tanglewood Music Center; Spoleto Festival USA; Music Academy of the West; Pacific Music Festival; Perlman Music Program; New York String Seminar,Perlman Music Program chamber orchestra,Leon Fleischer; 2018 New Fromm Players quartet,2019
Joseph Hearne,double bass,Stuart Sankey,Juilliard School,,Aspen Festival Orchestra,Incredible String Quartet,,1962
Andres Vela,double bassist,,Rice University; University of Texas (Rio Grande Valley),2018 Cynthia Woods Mitchell Young Artist Competition; 2021 Sphinx Competition,Tanglewood Music Center; Music Academy of the West; Texas Music Festival; Aspen Music Festival,,,2022
Elizabeth Rowe,Flute,Jim Walker,University of Southern California,,Tanglewood Music Center,Boston Symphony Chamber Players,Jessica Zhou,2004
Clint Foreman,flute,Leone Buyse; Linda Chesis; Mary Karen Clardy,Rice University; Manhattan School of Music; University of North Texas,,Tanglewood Music Center,,,2011
Thomas Van Dyck,double bass,Longy School of Music,New England Conservatory; Boston Conservatory; San Francisco Conservatory; Hartt School of Music,Maurice Schwarz Prize at Tanglewood; Lorraine Hunt Lieberson Prize,Mostly Mozart Festival; Town Hall; Carnegie Hall; Kennedy Center; Boston Chamber Music Society; Harvard University's Houghton Library chamber music series; Union College Chamber Music Series; Bay Chamber Concerts in Rockport; Kingston Chamber Music Festival in Rhode Island; Morrison Chamber Music Series in San Francisco; Rockport Chamber Music Festival,East Coast Chamber Orchestra,Frank Salomon,2013
Cynthia Meyers,Piccolo,Jeffrey Khaner; William Hebert,Carnegie Mellon University; Cleveland Institute of Music,,Grand Teton Music Festival,,,2006
Elizabeth Klein,Flute,Julius Baker; Jeffrey Khaner,Curtis Institute of Music; Gordon-Conwell Theological Seminary,Koussevitzky Competition for Woodwinds,Tanglewood Music Center,Boston Symphony Chamber Players; Boston Artists Ensemble,Michael Gandolfi; Dan Coleman; Jeremy Begbie; Eric Ostling; Sara Simpson,1994
John Ferrillo,Oboe,John de Lancie; John Mack,Curtis Institute,,Marlboro; Craftsbury; Monadnock; Aspen; Waterloo,Boston Symphony Chamber Players,Elizabeth Rowe; Pinchas Zukerman,2001
Mark McEwen,oboe,,Curtis Institute of Music; Tanglewood Music Center; Aspen Music Festival; Colorado Philharmonic,,Music Festival of Taipei,,,1996
Christopher Elchico,Clarinet,Burt Hara; James Campbell,"University of California, Los Angeles; Jacobs School of Music Indiana University",,,,,2022
Keisuke Wakao,oboe,Joseph Robinson; Alfred Genovese; Ralph Gomberg,Manhattan School of Music,,Pacific Music Festival,Boston Symphony Orchestra; Boston Pops,Christoph Eschenbach; Emmanuel Ax; John Williams,1990
William R. Hudgins,Clarinet,Harold Wright,Boston University School for the Arts,C.D. Jackson Award at Tanglewood Music Center,Spoleto Festival Orchestra; Il Festival dei Due Mondi,Boston Symphony Chamber Players,Michael Wayne,1992
Thomas Martin,clarinet,Stanley Hasty; Peter Hadcock,Eastman School of Music,Tanglewood in 1998; Tanglewood in 2008,Tanglewood; Prague Spring Music Festival,Hawthorne String Quartet,Lucy Shelton; Sir Andr Previn,1998
Suzanne Nelsen,bassoon,,McGill University; Longy School of Music; Boston Conservatory; Boston University; New England Conservatory,,Boston University Tanglewood Institute (BUTI); National Youth Orchestra of Canada,New England Bassoon Quartet; Zephyr Winds,,2000
Richard Svoboda,bassoon,,New England Conservatory,,Tanglewood Music Center; Sarasota Music Festival,Boston Symphony Chamber Players,,1989
Andrew Sandwick,clarinet,Yehuda Gilad; Richie Hawley; David Howard,University of Southern California; Rice University,Gino B. Cioffi Memorial Prize at the 2015 Tanglewood Music Center; Third place in the 2015 Vandoren Emerging Artist Competition; First place in the 2012-13 Pasadena Showhouse Instrumental Competition,Bravo Vail Music Festival; Tanglewood Music Center; Pacific Music Festival; Aspen Music Festival,,,2022
Samuel Watson,contrabassoonist,Barrick Stees; Jonathan Sherwin,,,,,,2023
Michael Winter,horn,Dr. James Winter; Jim Thatcher; John Mason,New England Conservatory of Music,,,,,2012
Richard Sebring,horn,,Indiana University; New England Conservatory of Music; University of Washington; Tanglewood Music Center,,Tanglewood,Boston Symphony Chamber Players,,2023
Rachel Childers,horn,Not available,University of Michigan; Colburn School,,,,,2011
Jason Snider,French Horn,Not Available,Northwestern University; Rice University,Not Available,Sun Valley; Grant Park; Grand Tetons; National Repertory Orchestra; Pacific Music Festival (Japan); Jerusalem International Symphony; Orquesta Sinfnica de Mineria (Mexico City),Chicago Chamber Musicians; Boston Chamber Music Society; Collage New Music,Not Available,2007
Thomas Rolfs,trumpet,David Baldwin; Vincent Cichowicz; Arnold Jacobs; Manny Laureano; Charles Schlueter,University of Minnesota; Northwestern University,,Tanglewood Music Center,Boston Symphony Orchestra Brass Quintet,,1991
Benjamin Wright,trumpet,not available,Cleveland Institute of Music,International Trumpet Guild; National Trumpet; Cleveland Institute of Music Concerto,Tanglewood Music Center Orchestra,not available,not available,2002
Thomas Siders,trumpet,Ray Sasaki; Marie Speziale,University of Texas at Austin; Rice University,New World Symphony fellow,"Tanglewood Music Center Fellow (2008, 2009)",,,2010
Toby Oft,trombone,,New England Conservatory; Boston University,,Tanglewood Music Center,Boston Symphony Chamber Players,,2008
Stephen Lange,trombone,Joseph Alessi; Keith Brown; Joe Dixon,Indiana University; Juilliard School,Lewis Van Haney International Trombone Competition,International Trombone Festival; Tanglewood,The Trombones of the Saint Louis Symphony; Extension Ensemble,SLSO trombone section,2010
Michael Martin,trumpet,Barbara Butler; Charles Geyer,Northwestern University,"Tanglewood Music Center Fellow (2006, 2008); Roger Voisin Trumpet Award recipient (2006, 2008); National Trumpet Competition winner (2006)","Pacific Music Festival (Sapporo, Japan); Grand Teton Music Festival (Jackson, Wyoming)",Eighth Blackbird; Pacifica Quartet,Members of Chicago Symphony Orchestra,2010
James Markey,bass trombone,Joseph Alessi,Juilliard School,,International Trombone Festival; American Trombone Workshop,Hora Decima Brass Ensemble; New York Staff Band of the Salvation Army; Hanover Wind Symphony,,2012
Mike W. Roylance,tuba,Not Available,Rollins College; DePaul University,Not Available,Tanglewood Music Center,Not Available,Not Available,2003
Timothy Genis,Timpani,,Juilliard School; Eastman School of Music; Boston University,,Tanglewood Music Center; Boston University Tanglewood Institute,,,2003
Will Hudgins,percussionist,Alan Abel,Peabody Institute of the Johns Hopkins University; Temple University,Concours Recital Competition,Tanglewood Music Center; Aspen Music Festival,Collage New Music,Leon Fleisher,1990
Daniel Bauch,percussion,Timothy Genis; Will Hudgins; Daniel Druckman,Juilliard School; Boston University,,Music Academy of the West; Tanglewood Music Center,New Music Detroit,Detroit Symphony Orchestra players,2009
Matt McKay,Percussionist,John Tafoya; Bill Richards; J. William Hudgins; Timothy Genis,New England Conservatory; Boston University,,Tanglewood Music Center,ensNEWSRQ; Third Angle New Music ensemble,,2012
Jessica Zhou,harp,Joan Holland; Nancy Allen,Interlochen Arts Academy; Juilliard School,Prix du Jury at the Third Lily Laskine International Harp Competition; fourth prize in the USA International Harp Competition; second prize at the 14th International Harp Contest in Israel; 2001 Pro Musicis International Award; Anne Adams Award National Harp Competition,Mainly Mozart Festival; Caramoor Music Festival; Pacific Music Festival,Boston Symphony Chamber Players; Bridgehampton Chamber Music Festival; Boston Chamber Music Society; North Country Chamber Players,Christopher Rouse,2009
D. Wilson Ochoa,French horn,,San Diego State University; University of Memphis,,National Repertory Orchestra in Colorado; Missouri; California; Oregon; Washington; Michigan,,,2011
James Burton,Conductor,Frederik Prausnitz; Gustav Meier,"St Johns College, Cambridge University; Peabody Conservatory",Gramophone Choral Award (2009),Tanglewood Festival,Boston Symphony Orchestra; Boston Pops; Tanglewood Festival Chorus; Boston Symphony Childrens Choir,The Sixteen; BBC Singers; Kings Singers,2017
Mark Fabulich,tuba,,Fullerton College; Boston Conservatory; Conservatoire de Lausanne; New England Conservatory,international solo competition in 2000,Hot Tamale Brass Band at Fenway Park during the historic 2003 and 2004 Red Sox seasons,,,2015
Russel Allyn,assistant librarian,,,,Tanglewood Music Center,,,2022
John Demick,stage manager,,St. Joseph's Central High School; Boston University,,Tanglewood,Boston Pops Esplanade Orchestra; Boston Symphony Orchestra,James Levine,2003
Yannick Nzet-Sguin,director,Carlo Maria Giulini; Joseph Flummerfelt,"Conservatory of Music, Montreal",,Salzburg Festival,,,2010
Earl Lee,conductor,Fabio Luisi,Curtis Institute of Music; Juilliard School; Manhattan School of Music; New England Conservatory,Sir Georg Solti Conducting Award,Marlboro Music Festival; Music from Angel Fire; Caramoor Rising Stars; Ravinias Steans Institute,East Coast Chamber Orchestra; Musicians from Marlboro; Harlem String Quartet,Gary Burton; Chick Corea,2022
Nathalie Stutzmann,conductor,Jorma Panula,,La Maestra Conducting Competition,Bayreuth Festival; Metropolitan Opera,,,2021
Samy Rachid,conductor,Mathieu Herzog,,Tokyo International Music Competition for Conducting - 2nd Prize,Verbier Festival - Conducting Fellow; Gstaad Conducting Academy - Neeme Jrvi Prize,Arod Quartet,Quatuor bne; Artemis Quartet,2023
Austin Chanu,conductor,Neil Varon,USC Thornton School of Music; Eastman School of Music,2023 Career Assistance Award from the Solti Foundation US,,,,2022
Tristan Rais-Sherman,conductor,Hugh Wolff; Kenneth Kiesler; Cristian Mcelaru; David Zinman; Sian Edwards; Neil Varon; Jeffrey Meyer,New England Conservatory; University of Michigan; Ithaca College,Gustav Mahler Conducting Competition,Interlochen; Philadelphia International Music Festival,,,2023
Joseph H. Conyers,double bass,Harold Robinson; Edgar Meyer,Curtis Institute of Music,Sphinx Organization,Chamber Music Society of Lincoln Center,Dubhe,,2010
Charlotte Blake Alston,storyteller,,,,National Storytelling Festival; National Festival of Black Storytelling,,,2021
David Kim,Violinist,Dorothy DeLay,Juilliard School,Menuhin; Sarasate,Festival Napa Valley; Music in the Vineyards,The Philadelphia Orchestra; All-Star Orchestra,Kimberly Fisher,2023
Juliette Kang,violinist,Jascha Brodsky; Dorothy Delay; Robert Mann,Curtis Institute of Music; Juilliard School,1994 International Violin Competition of Indianapolis; Menuhin Violin Competition of Paris 1992,"Bravo! Vail; Bridgehampton (Long Island, NY); Kingston (RI); Marlboro; Moab (UT); Skaneateles (NY); Spoleto USA",Clarosa Quartet,Che Hung Chen; Natalie Zhu; Clancy Newman,2005
Marc Rovetti,Violin,Ronald Copes; Pamela Frank; Louise Behrend,Juilliard School,,Bravo! Vail; Jackson Hole; Kneisel Hall,Rothko String Quartet; Chamber Music Society of Lincoln Center,Mark Morris Dance Group Ensemble,2007
Christine Lim,violin,Ida Kavafian; Soovin Kim; Paul Biss,Curtis Institute of Music; New England Conservatory of Music,"International Competition for Violin, Kloster Schntal; International Tchaikovsky Competition for Young Musicians; Yehudi Menuhin International Competition for Young Violinists; Seoul International Music Competition",Marlboro Music Festival; Ravinia Festival; Verbier Festival Academy; Music from Angel Fire; Aspen Music Festival,,Gary Hoffman; Harold Robinson; Richard King,2018
Jonathan Beiler,Violin,Louis Gesensway; Josef Gingold,Friends Select School; Yale University; Indiana University,,,The Philadelphia Orchestra; Saint Paul Chamber Orchestra; Saint Louis Symphony,,1976
Barbara Govatos,violin,Ivan Galamian; Sabina K. Girvan; Jascha Brodsky; Felix Galimir; Josef Gingold; Robert Mann; Mischa Schneider,Juilliard School,G.B. Dealey International Competition,Marlboro; Salzburg; Saratoga; Maggio Musicale Fiorentino; Marblehead; Music at Gretna,Amerita Ensemble; Hildegard Chamber Players,Emanuel Ax; Radu Lupu; Riccardo Muti; Christopher Parkening; Wolfgang Sawallisch; Emerson String Quartet; Lenape Chamber Ensemble,1982
Richard Amoroso,violinist,Norman Carol; William dePasquale; Rafael Druian; David Arben,Settlement Music School; Dickinson College,Philadelphia Orchestra Student Competition,Carnegie Hall,Trio Recital at Carnegie Hall,Peter Nero; Various local music groups,1998
Hirono Oka,violin,Ivan Galamian; Jaime Laredo; Arnold Steinhardt; Felix Galimir; Stuart Canin,San Francisco Conservatory; Curtis Institute of Music,,Marlboro Music Festival; Chamber Music West; Theatre Chamber Players of the Kennedy Center; Network for New Music; Delaware Chamber Music Festival; Philadelphia Chamber Music Society,,Alexander Schneider; Leon Fleischer; Yefim Bronfman; Murray Perahia,1990
Yayoi Numazawa,violin,Ami Watanabe; Ivan Galamian; Yumi Ninomiya Scott; Jamie Laredo; Felix Galimir,Curtis Institute of Music,Philadelphia Orchestra Albert M. Greenfield Student Competition,,,,1995
Jennifer Haas,violin,Jascha Brodsky,Curtis Institute of Music,Robin Hood Dell Guild Audition,,,,2001
Miyo Curnow,violin,Louise Behrend; Christine Dethier; Henryk Kowalski; Stuart Canin,Juilliard School; Indiana University; San Francisco Conservatory,,,,,2002
Jason DePue,violin,Boris Brant; Vasile Beluska; David Cerone; William dePasquale,Curtis Institute of Music,1999 Verbier Festival Orchestra in Switzerland; 1999 New York String Seminar; 1998 Curtis Symphony Orchestra,Ravinia; La Jolla; Kingston; Sarasota; Chautauqua; Interlochen; Encore; Saratoga; St. Baarths,DePue Brothers Band,,2013
Elina Kalendarova,violinist,Nathan Mendelssohn; Igor Bezrodny,Uspensky Music School for Gifted Children in Tashkent; Moscow Conservatory,Michelangelo Abbado International Violin Competition in Italy,Ars Viva Orchestra in Moscow,The Philadelphia Orchestra,Yefim Bronfman; Cynthia Raim; Victoria Ollas; Alexei Sultanov; Christophe Sirodeau,2002
Daniel Han,Violin,Roman Totenberg; Kurt Sassmannshaus; Dorothy DeLay,University of Cincinnati College-Conservatory of Music; Boston University,,Aspen Music Festival; Kneisel Hall; Bravo! Vail festival; Kingston; Music in the Mountains; Philadelphia International Music festivals,,,2006
